mode,daily_checkin_rate,videos_completed_pct,avg_time_spent_min,assignments_on_time_pct,quiz_participation,forum_activity_score,attendance_pct,indiscipline_score,last_exam_score,avg_academic_score,backlogs_count,grade_trend,risk_label
online,18.513292883861965,67.2702994208898,70.85439364993958,3.879945472888746,91.35780114026949,5.330305614882556,97.43176372044141,4.996702437290534,81.29477019446215,38.655787373149266,5,0,1
offline,54.190094737835814,79.66813971913723,85.21841868750386,18.677252823112934,52.5360481819498,1.3789882173033396,1.7172990662369547,7.4674677251259425,67.8542029790759,20.4653529646327,1,1,2
online,87.29458358764083,25.046789879249896,153.81853077639246,83.12458050899426,72.49102718360844,5.912429057506142,94.7651653081089,5.626667806563331,88.90749167467196,6.499026033876842,6,-1,0
online,73.22248864095612,62.48740996069989,61.200789490780586,76.67683563383358,43.60482979725878,3.1478562371695795,36.86774238491447,0.8330258311179639,44.93360594354341,7.949174835268746,7,0,0
online,80.65611478614497,57.17459831437487,156.53694326619083,35.06426914571469,63.00345775424382,0.5234876680960243,1.009040502188152,1.855802367835554,89.38897627221915,76.00472059609774,3,-1,0
offline,65.87833667107174,83.28303767882711,15.864197575804468,37.681062777421246,34.05759374211187,9.486561577065649,68.91572317245083,2.1932818403091914,86.57741223560754,44.4802991036633,3,-1,1
online,69.22765645178525,90.60870604812605,139.82371869755355,53.35544335535795,30.115901978544535,6.414903690642878,98.05403040313541,2.5786425364484487,43.84093323592696,72.61811220000153,1,1,0
online,84.91956515653193,1.2156771477386807,152.55857394985253,0.02410046851345493,57.82297861695137,8.76918931870847,96.56257228375925,5.654033919505043,38.114331529297864,68.22871217636975,4,0,1
online,24.966800885918595,67.40199190587927,32.72717751072098,24.124433603802785,49.81296741839804,6.760560050132531,16.093701120241843,5.039657798253935,93.28120149702568,13.536246176025779,4,-1,1
offline,48.942496364314046,5.1835799119729025,77.46237582699608,20.823180860821445,57.95363691499811,3.569836921401129,18.1247806066155,2.0316003836420893,71.51647345384376,14.28879341922672,2,1,1
online,22.120944181960223,54.88586650773559,29.789959439458013,25.048294674976347,28.6660581287023,5.126880723288114,56.55389146196601,0.6755484345568707,92.82453464380757,75.53420154341339,7,1,2
online,98.7668007996647,28.76327290436782,127.1887432189592,80.59058425334413,36.695783181699525,6.7574676034717704,63.73048264283244,1.7143220447471808,79.69747788958131,72.12682934854172,2,1,0
online,94.40593396866133,30.67765995221412,96.3625982510982,27.967385654644318,8.38979606289093,9.602523252014375,73.94179136658656,9.843813126186033,60.92974392914143,37.80307668743104,4,-1,1
online,3.94268113685059,35.29585034523566,114.35820240749779,19.152132205014816,5.227637227220572,2.536694591216965,18.10503604721475,4.685469497914722,11.585277700376452,7.742226333284008,4,1,1
offline,70.55751725156884,62.12924490496101,35.367654052118006,50.42634607930315,25.345712967301626,8.749770586241176,95.90070867644344,8.673455047021125,29.148067257909847,1.20980216984522,7,1,2
online,92.52483174156659,33.40499656687692,38.114255169435516,86.56450363727319,7.424685933054576,9.240778052942694,63.873925628923786,8.487524666688433,96.88424070983915,28.815694946174485,6,1,1
offline,18.057534512733355,73.26990505902803,7.469518591783146,24.134970383749987,10.37747086347407,6.7041551465895655,84.70469188705549,5.115195574628737,31.942209871420445,0.9222273587226937,7,-1,2
offline,56.79452305526295,40.45273855738697,57.972156335231354,7.853624279279869,81.29284053939371,9.312666274013377,54.00657152841718,7.066877084605435,9.325486978537079,23.00726211037034,4,1,2
offline,91.54882975880419,6.835320030995861,100.75403904006149,35.64047358496647,3.88736970166893,3.978785874773685,41.427684758988256,1.9275201041271228,70.75533559193198,41.95007402113385,4,-1,1
online,3.394597858579884,78.37598424841073,154.4282845195192,74.76518245649778,65.89427939347428,9.530161760404427,97.7182906594996,6.883967049269083,73.40042545436842,12.141576531195419,3,1,0
offline,69.742026724684,28.5758324592706,120.04694054256252,55.06905446947946,27.255774881540052,7.027828771659749,58.212137081983606,2.723845792632895,28.545772028715078,10.427775783154624,2,-1,1
online,29.734900737255078,43.276687959926264,78.37133821195526,81.67933695743474,87.15456807081264,0.420057674188119,86.68735827991789,8.320620967541508,29.767197934630374,89.64374357187366,1,-1,1
offline,92.43961953765304,68.54438832219016,171.5616205909448,95.9592147609234,48.49922845774996,9.068728318190528,95.329239636629,0.8372413310890992,46.88929855087839,58.547002902288924,7,0,1
offline,97.10582451653677,33.2456157148712,129.46413610364974,79.26624767516171,30.557645932782574,4.844728090331926,67.53546270086592,7.731386728852775,2.178894976225554,93.44556867627814,0,0,1
offline,94.42664891134339,5.658565614671563,167.429736515259,60.38030788437534,51.76389356894345,4.6032698477783285,54.8938678518675,0.9993690656861953,78.93230103611636,34.58261637856792,1,0,0
offline,47.42142166574638,37.39210470128136,94.96583518898981,49.33415880523805,38.19580190452688,5.6646660597963425,0.351085091065062,8.81189236894309,31.70887872741256,67.71449373291631,7,-1,2
offline,86.20426509893134,94.44485826943034,46.602769462765124,4.006908634826667,56.43010646698302,1.4938454677122792,4.001964073900599,3.042045181350037,85.37631020019776,20.469167462179037,5,1,2
offline,84.45493985350704,64.17343972985582,9.508803545649958,98.43219788140412,11.453286832634824,4.691660485673986,20.085121605111635,6.543933648305748,80.26304216000338,61.83403172799412,7,1,2
offline,31.910047324325564,67.1479148667207,130.69527326709309,38.348112257504255,99.69905028125511,8.311272167177457,18.600843185599526,4.875022786202798,66.14020331187831,12.958573000998442,0,-1,1
offline,82.89154741506773,63.22821536376399,21.83453964099614,15.222821391686681,42.55558776967175,0.15482459137515336,25.475879519984534,3.6630314526233896,32.48748670992887,0.2080639176285759,3,1,2
